,X,Y_True
0,Original_Tiles_Resized 1.png,Layer_Labeled_Resized 1.npy
1,Original_Tiles_Resized 10.png,Layer_Labeled_Resized 10.npy
2,Original_Tiles_Resized 100.png,Layer_Labeled_Resized 100.npy
3,Original_Tiles_Resized 1000.png,Layer_Labeled_Resized 1000.npy
4,Original_Tiles_Resized 1001.png,Layer_Labeled_Resized 1001.npy
5,Original_Tiles_Resized 1002.png,Layer_Labeled_Resized 1002.npy
6,Original_Tiles_Resized 1003.png,Layer_Labeled_Resized 1003.npy
7,Original_Tiles_Resized 1004.png,Layer_Labeled_Resized 1004.npy
8,Original_Tiles_Resized 1005.png,Layer_Labeled_Resized 1005.npy
9,Original_Tiles_Resized 1006.png,Layer_Labeled_Resized 1006.npy
10,Original_Tiles_Resized 1007.png,Layer_Labeled_Resized 1007.npy
11,Original_Tiles_Resized 1008.png,Layer_Labeled_Resized 1008.npy
12,Original_Tiles_Resized 1009.png,Layer_Labeled_Resized 1009.npy
13,Original_Tiles_Resized 101.png,Layer_Labeled_Resized 101.npy
14,Original_Tiles_Resized 1010.png,Layer_Labeled_Resized 1010.npy
15,Original_Tiles_Resized 1011.png,Layer_Labeled_Resized 1011.npy
16,Original_Tiles_Resized 1012.png,Layer_Labeled_Resized 1012.npy
17,Original_Tiles_Resized 1013.png,Layer_Labeled_Resized 1013.npy
18,Original_Tiles_Resized 1014.png,Layer_Labeled_Resized 1014.npy
19,Original_Tiles_Resized 1015.png,Layer_Labeled_Resized 1015.npy
20,Original_Tiles_Resized 1016.png,Layer_Labeled_Resized 1016.npy
21,Original_Tiles_Resized 1017.png,Layer_Labeled_Resized 1017.npy
22,Original_Tiles_Resized 1018.png,Layer_Labeled_Resized 1018.npy
23,Original_Tiles_Resized 1019.png,Layer_Labeled_Resized 1019.npy
24,Original_Tiles_Resized 102.png,Layer_Labeled_Resized 102.npy
25,Original_Tiles_Resized 1020.png,Layer_Labeled_Resized 1020.npy
26,Original_Tiles_Resized 1021.png,Layer_Labeled_Resized 1021.npy
27,Original_Tiles_Resized 1022.png,Layer_Labeled_Resized 1022.npy
28,Original_Tiles_Resized 1023.png,Layer_Labeled_Resized 1023.npy
29,Original_Tiles_Resized 1024.png,Layer_Labeled_Resized 1024.npy
30,Original_Tiles_Resized 1025.png,Layer_Labeled_Resized 1025.npy
31,Original_Tiles_Resized 1026.png,Layer_Labeled_Resized 1026.npy
32,Original_Tiles_Resized 1027.png,Layer_Labeled_Resized 1027.npy
33,Original_Tiles_Resized 1028.png,Layer_Labeled_Resized 1028.npy
34,Original_Tiles_Resized 1029.png,Layer_Labeled_Resized 1029.npy
35,Original_Tiles_Resized 103.png,Layer_Labeled_Resized 103.npy
36,Original_Tiles_Resized 1030.png,Layer_Labeled_Resized 1030.npy
37,Original_Tiles_Resized 1031.png,Layer_Labeled_Resized 1031.npy
38,Original_Tiles_Resized 1032.png,Layer_Labeled_Resized 1032.npy
39,Original_Tiles_Resized 1033.png,Layer_Labeled_Resized 1033.npy
40,Original_Tiles_Resized 1034.png,Layer_Labeled_Resized 1034.npy
41,Original_Tiles_Resized 1035.png,Layer_Labeled_Resized 1035.npy
42,Original_Tiles_Resized 1036.png,Layer_Labeled_Resized 1036.npy
43,Original_Tiles_Resized 1037.png,Layer_Labeled_Resized 1037.npy
44,Original_Tiles_Resized 1038.png,Layer_Labeled_Resized 1038.npy
45,Original_Tiles_Resized 1039.png,Layer_Labeled_Resized 1039.npy
46,Original_Tiles_Resized 104.png,Layer_Labeled_Resized 104.npy
47,Original_Tiles_Resized 1040.png,Layer_Labeled_Resized 1040.npy
48,Original_Tiles_Resized 1041.png,Layer_Labeled_Resized 1041.npy
49,Original_Tiles_Resized 1042.png,Layer_Labeled_Resized 1042.npy
50,Original_Tiles_Resized 1043.png,Layer_Labeled_Resized 1043.npy
51,Original_Tiles_Resized 1044.png,Layer_Labeled_Resized 1044.npy
52,Original_Tiles_Resized 1045.png,Layer_Labeled_Resized 1045.npy
53,Original_Tiles_Resized 1046.png,Layer_Labeled_Resized 1046.npy
54,Original_Tiles_Resized 1047.png,Layer_Labeled_Resized 1047.npy
55,Original_Tiles_Resized 1048.png,Layer_Labeled_Resized 1048.npy
56,Original_Tiles_Resized 1049.png,Layer_Labeled_Resized 1049.npy
57,Original_Tiles_Resized 105.png,Layer_Labeled_Resized 105.npy
58,Original_Tiles_Resized 1050.png,Layer_Labeled_Resized 1050.npy
59,Original_Tiles_Resized 1051.png,Layer_Labeled_Resized 1051.npy
60,Original_Tiles_Resized 1052.png,Layer_Labeled_Resized 1052.npy
61,Original_Tiles_Resized 1053.png,Layer_Labeled_Resized 1053.npy
62,Original_Tiles_Resized 1054.png,Layer_Labeled_Resized 1054.npy
63,Original_Tiles_Resized 1055.png,Layer_Labeled_Resized 1055.npy
64,Original_Tiles_Resized 1056.png,Layer_Labeled_Resized 1056.npy
65,Original_Tiles_Resized 1057.png,Layer_Labeled_Resized 1057.npy
66,Original_Tiles_Resized 1058.png,Layer_Labeled_Resized 1058.npy
67,Original_Tiles_Resized 1059.png,Layer_Labeled_Resized 1059.npy
68,Original_Tiles_Resized 106.png,Layer_Labeled_Resized 106.npy
69,Original_Tiles_Resized 1060.png,Layer_Labeled_Resized 1060.npy
70,Original_Tiles_Resized 1061.png,Layer_Labeled_Resized 1061.npy
71,Original_Tiles_Resized 1062.png,Layer_Labeled_Resized 1062.npy
72,Original_Tiles_Resized 1063.png,Layer_Labeled_Resized 1063.npy
73,Original_Tiles_Resized 1064.png,Layer_Labeled_Resized 1064.npy
74,Original_Tiles_Resized 1065.png,Layer_Labeled_Resized 1065.npy
75,Original_Tiles_Resized 1066.png,Layer_Labeled_Resized 1066.npy
76,Original_Tiles_Resized 1067.png,Layer_Labeled_Resized 1067.npy
77,Original_Tiles_Resized 1068.png,Layer_Labeled_Resized 1068.npy
78,Original_Tiles_Resized 1069.png,Layer_Labeled_Resized 1069.npy
79,Original_Tiles_Resized 107.png,Layer_Labeled_Resized 107.npy
80,Original_Tiles_Resized 1070.png,Layer_Labeled_Resized 1070.npy
81,Original_Tiles_Resized 1071.png,Layer_Labeled_Resized 1071.npy
82,Original_Tiles_Resized 1072.png,Layer_Labeled_Resized 1072.npy
83,Original_Tiles_Resized 1073.png,Layer_Labeled_Resized 1073.npy
84,Original_Tiles_Resized 1074.png,Layer_Labeled_Resized 1074.npy
85,Original_Tiles_Resized 1075.png,Layer_Labeled_Resized 1075.npy
86,Original_Tiles_Resized 1076.png,Layer_Labeled_Resized 1076.npy
87,Original_Tiles_Resized 1077.png,Layer_Labeled_Resized 1077.npy
88,Original_Tiles_Resized 1078.png,Layer_Labeled_Resized 1078.npy
89,Original_Tiles_Resized 1079.png,Layer_Labeled_Resized 1079.npy
90,Original_Tiles_Resized 108.png,Layer_Labeled_Resized 108.npy
91,Original_Tiles_Resized 1080.png,Layer_Labeled_Resized 1080.npy
92,Original_Tiles_Resized 1081.png,Layer_Labeled_Resized 1081.npy
93,Original_Tiles_Resized 1082.png,Layer_Labeled_Resized 1082.npy
94,Original_Tiles_Resized 1083.png,Layer_Labeled_Resized 1083.npy
95,Original_Tiles_Resized 1084.png,Layer_Labeled_Resized 1084.npy
